	St	Ht	Vt	N
0	64.2388096955	798.67383046	1278.86273199	15
1	108.276058594	-566.655644065	68.4931458569	15
2	150.907498856	3303.04243898	2591.57343973	15
3	152.165502643	3031.36990587	2721.23966601	15
4	129.185981051	988.166245453	851.821489934	15
5	90.310800234	192.228003821	93.8805921061	15
6	200.541184376	11241.5338531	10108.5297557	15
7	111.849416636	752.081860571	140.408674613	15
8	151.359110758	2990.52818787	2637.75825783	15
9	91.3938941909	-55.4766570484	74.0650571981	15
10	118.788485461	877.315182366	353.007185928	15
11	154.138778538	3100.69410154	2931.00734156	15
12	122.489925549	959.709628757	505.796751222	15
13	63.7151797114	1286.06021863	1316.58818337	15
14	93.6347786508	330.509087815	40.5160428247	15
15	118.775398309	-1127.29656033	352.51558165	15
16	88.8039070553	145.490871216	125.352497226	15
17	122.449778563	1096.22480294	503.992557516	15
18	94.7692607819	-184.650752574	27.3606327681	15
19	102.800705268	624.217844663	7.84394999989	15
20	107.5764482	377.388031432	57.4025673294	15
21	89.802249208	179.220397281	103.994121216	15
22	86.1067972133	-93.4419035159	193.021083671	15
23	109.553271682	579.376411413	91.264999824	15
24	131.997614087	1303.29169167	1023.84730729	15
25	73.0708814359	772.721297113	725.177426639	15
26	63.061211053	811.221827643	1364.47412887	15
27	85.7150329996	386.52191603	204.060282201	15
28	158.321483275	3978.86196944	3401.39541145	15
29	65.8206477112	379.804683062	1168.22812288	15
30	116.191823886	532.169180719	262.175160746	15
31	92.7754103538	-327.251077567	52.1946955561	15
32	227.655595801	17258.712542	16295.9511394	15
33	89.6372139696	365.133112357	107.387334312	15
34	119.982642263	1081.64220581	399.305991794	15
35	105.681408639	772.838894236	32.2784041185	15
36	82.8802027679	873.277431998	293.087457267	15
37	58.9847634886	544.674268864	1682.24962609	15
38	125.511246129	405.144070253	650.823679044	15
39	67.4915427463	724.988006936	1056.79979301	15
40	134.907497102	1456.9041943	1218.53335394	15
41	152.907514364	2269.09281369	2799.20507614	15
42	129.566374128	2065.13381177	874.170479061	15
43	98.3174493363	380.850160033	2.83097673597	15
44	105.571170337	351.484804073	31.0379389183	15
45	69.8666570469	-135.548357519	908.018357526	15
46	120.117623968	1101.97880084	404.718794118	15
47	91.4702492164	302.832879176	72.7566484309	15
48	119.977940839	1357.0644656	399.118120157	15
49	34.0552467359	4007.0622425	4348.71048306	15
50	64.1551563886	1550.57261141	1284.85281352	15
51	97.6254440616	149.056205302	5.63851590462	15
52	98.2544760969	62.2188199055	3.04685369615	15
53	69.5790038884	357.847257474	925.437004421	15
54	47.9416316511	2751.26176542	2710.07371515	15
55	81.5602133365	-337.523740181	340.025732197	15
56	84.6203309769	-223.224086553	236.534219261	15
57	100.122157161	-962.170063423	0.0149223720564	15
58	102.676107262	446.248796858	7.16155007548	15
59	185.040759328	8381.06766662	7231.93074709	15
60	83.7904662689	167.907804884	262.74898378	15
61	56.4153372295	1571.59673094	1899.62282882	15
62	133.943718173	1757.40159567	1152.17600343	15
