	St	Ht	Vt	N
0	103.325918362	21.5892188945	21.5100074051	15
1	95.9006111547	20.7674440496	20.8238196466	15
2	175.906013147	26.9010396958	26.7283813087	15
3	68.1322770738	18.4077508568	17.8206491086	15
4	179.194095386	26.9076711193	26.9202162728	15
5	91.3142409422	20.4403556352	20.378965479	15
6	98.6327854916	20.91958698	21.0809880869	15
7	168.206947008	26.2550061194	26.2676242878	15
8	101.38146696	21.0594717943	21.3341476298	15
9	241.181861759	30.2672992907	30.0912726483	15
10	128.313697723	23.7637206632	23.5659569356	15
11	79.425755383	19.000146104	19.1390735755	15
12	62.5785330493	17.6116682816	17.1099894171	15
13	179.418626767	26.8008715129	26.9332120746	15
14	181.981607872	26.8624958404	27.0806337677	15
15	41.6362954526	14.0193135392	13.9052342181	15
16	151.163653401	25.0471507863	25.1839676744	15
17	94.8630873541	20.6476873032	20.7246613914	15
18	132.872576399	23.8052394897	23.906140408	15
19	72.7760081928	18.3018554484	18.381681655	15
20	170.721761609	26.3909947024	26.419960893	15
21	138.993493373	24.216804435	24.3485710201	15
22	54.2490603685	16.0669825988	15.9487265186	15
23	154.211372712	25.6189456313	25.3847108592	15
24	104.066630207	21.4187393479	21.5763164196	15
25	119.20410617	23.080358146	22.8564043499	15
26	68.7950032157	17.8429968869	17.9024705091	15
27	111.261313935	22.2376383055	22.2018283459	15
28	82.7050778983	19.8623498016	19.4947063229	15
29	97.8748949816	20.7902703328	21.0102147616	15
30	104.57504568	21.5076565123	21.6216160826	15
31	123.48646161	23.0613957747	23.1951228898	15
32	111.770251739	22.057923813	22.244857595	15
33	67.3842190882	17.5684330449	17.7275595456	15
34	195.458420949	27.7505025	27.8292931052	15
35	137.446740456	24.0805843275	24.2382576343	15
36	90.8823034946	20.3412464059	20.3361792058	15
37	74.871102223	18.5619969898	18.6258534122	15
38	86.0169938936	20.3291354412	19.8429700892	15
39	68.2510575844	17.8698950047	17.8353585214	15
40	119.483214437	22.8872204371	22.8787716573	15
